filename,width,height,class,xmin,ymin,xmax,ymax
1278.jpg,320,240,0,49,100,279,214
1278.jpg,320,240,1,169,171,191,198
95.jpg,320,240,0,40,101,274,208
95.jpg,320,240,1,135,166,162,195
1183.jpg,320,240,0,40,102,279,215
1183.jpg,320,240,1,146,173,175,201
2584.jpg,320,240,0,29,49,319,149
2584.jpg,320,240,1,161,102,196,139
2344.jpg,320,240,0,52,99,317,193
2344.jpg,320,240,1,174,151,205,185
435.jpg,320,240,0,40,94,277,216
435.jpg,320,240,1,139,170,164,198
1068.jpg,320,240,0,45,90,279,226
1068.jpg,320,240,1,174,172,202,203
125.jpg,320,240,0,71,99,255,185
125.jpg,320,240,1,149,150,170,177
214.jpg,320,240,0,63,96,226,180
214.jpg,320,240,1,141,139,158,165
383.jpg,320,240,0,40,102,275,214
383.jpg,320,240,1,137,171,163,198
2719.jpg,320,240,0,17,101,289,195
2719.jpg,320,240,1,135,155,166,186
2080.jpg,320,240,0,51,104,319,213
2080.jpg,320,240,1,184,165,220,204
561.jpg,320,240,0,41,98,271,204
561.jpg,320,240,1,141,164,167,190
1253.jpg,320,240,0,40,100,277,214
1253.jpg,320,240,1,146,171,174,200
975.jpg,320,240,0,40,101,273,221
975.jpg,320,240,1,121,174,149,204
1636.jpg,320,240,0,40,104,176,212
1636.jpg,320,240,1,118,170,146,198
630.jpg,320,240,0,97,95,280,236
630.jpg,320,240,1,167,160,188,186
1228.jpg,320,240,0,81,94,239,174
1228.jpg,320,240,1,149,138,166,160
1731.jpg,320,240,0,40,104,117,194
1731.jpg,320,240,1,67,157,90,180
1323.jpg,320,240,0,46,99,274,218
1323.jpg,320,240,1,161,169,186,196
2164.jpg,320,240,0,0,105,254,212
2164.jpg,320,240,1,77,166,114,203
1557.jpg,320,240,0,46,102,176,197
1557.jpg,320,240,1,127,159,152,184
1136.jpg,320,240,0,52,101,269,200
1136.jpg,320,240,1,145,162,169,188
641.jpg,320,240,0,86,93,280,237
641.jpg,320,240,1,152,158,172,185
851.jpg,320,240,0,82,99,244,172
851.jpg,320,240,1,155,141,172,163
1910.jpg,320,240,0,59,102,180,196
1910.jpg,320,240,1,134,159,159,182
2055.jpg,320,240,0,61,104,319,213
2055.jpg,320,240,1,198,166,235,204
1098.jpg,320,240,0,72,98,280,216
1098.jpg,320,240,1,189,168,214,196
315.jpg,320,240,0,101,103,271,179
315.jpg,320,240,1,174,148,194,168
1781.jpg,320,240,0,52,104,182,200
1781.jpg,320,240,1,125,162,151,186
639.jpg,320,240,0,95,94,280,238
639.jpg,320,240,1,161,158,182,186
1321.jpg,320,240,0,47,98,274,216
1321.jpg,320,240,1,161,168,187,196
1213.jpg,320,240,0,40,102,279,216
1213.jpg,320,240,1,142,172,170,201
365.jpg,320,240,0,40,102,279,216
365.jpg,320,240,1,139,172,166,199
2561.jpg,320,240,0,16,42,294,140
2561.jpg,320,240,1,137,94,169,126
1173.jpg,320,240,0,80,95,233,172
1173.jpg,320,240,1,146,139,163,158
1856.jpg,320,240,0,51,102,176,197
1856.jpg,320,240,1,127,158,152,184
350.jpg,320,240,0,40,102,274,214
350.jpg,320,240,1,136,171,163,198
1792.jpg,320,240,0,48,104,184,203
1792.jpg,320,240,1,126,163,152,190
1162.jpg,320,240,0,80,95,233,171
1162.jpg,320,240,1,146,139,163,158
1503.jpg,320,240,0,68,101,258,187
1503.jpg,320,240,1,152,152,173,176
852.jpg,320,240,0,40,99,279,239
852.jpg,320,240,1,127,193,163,228
871.jpg,320,240,0,40,97,279,239
871.jpg,320,240,1,142,189,176,223
1638.jpg,320,240,0,40,104,177,212
1638.jpg,320,240,1,119,170,147,197
546.jpg,320,240,0,40,93,264,204
546.jpg,320,240,1,140,162,166,188
1347.jpg,320,240,0,63,101,279,219
1347.jpg,320,240,1,179,167,204,196
2605.jpg,320,240,0,54,58,319,163
2605.jpg,320,240,1,193,115,228,153
462.jpg,320,240,0,40,87,276,215
462.jpg,320,240,1,142,169,169,197
1778.jpg,320,240,0,52,104,182,200
1778.jpg,320,240,1,125,161,151,186
905.jpg,320,240,0,63,102,279,218
905.jpg,320,240,1,186,173,210,202
198.jpg,320,240,0,58,97,218,189
198.jpg,320,240,1,135,144,152,166
2449.jpg,320,240,0,50,100,281,180
2449.jpg,320,240,1,152,143,179,172
423.jpg,320,240,0,53,90,246,185
423.jpg,320,240,1,134,146,155,168
1109.jpg,320,240,0,64,102,279,210
1109.jpg,320,240,1,173,168,198,195
931.jpg,320,240,0,53,101,279,218
931.jpg,320,240,1,152,174,181,202
2400.jpg,320,240,0,0,101,235,187
2400.jpg,320,240,1,106,146,133,177
481.jpg,320,240,0,40,94,255,210
481.jpg,320,240,1,127,168,153,196
1607.jpg,320,240,0,40,104,177,206
1607.jpg,320,240,1,120,168,146,192
2333.jpg,320,240,0,33,102,298,192
2333.jpg,320,240,1,151,150,182,185
1572.jpg,320,240,0,55,103,205,196
1572.jpg,320,240,1,125,160,148,182
2103.jpg,320,240,0,1,104,313,212
2103.jpg,320,240,1,132,166,168,204
1196.jpg,320,240,0,40,102,279,215
1196.jpg,320,240,1,146,173,175,202
2280.jpg,320,240,0,0,99,217,196
2280.jpg,320,240,1,67,148,95,182
2011.jpg,320,240,0,3,104,312,212
2011.jpg,320,240,1,133,164,168,202
981.jpg,320,240,0,40,102,270,222
981.jpg,320,240,1,118,174,145,203
1695.jpg,320,240,0,97,102,232,190
1695.jpg,320,240,1,168,153,192,176
2649.jpg,320,240,0,0,61,252,168
2649.jpg,320,240,1,69,121,104,159
2113.jpg,320,240,0,0,105,294,212
2113.jpg,320,240,1,113,166,148,204
1451.jpg,320,240,0,45,100,268,210
1451.jpg,320,240,1,134,163,158,190
1243.jpg,320,240,0,40,99,276,214
1243.jpg,320,240,1,142,171,169,200
865.jpg,320,240,0,40,101,279,239
865.jpg,320,240,1,135,192,170,227
2484.jpg,320,240,0,44,100,275,180
2484.jpg,320,240,1,143,143,171,172
200.jpg,320,240,0,57,97,218,191
200.jpg,320,240,1,135,145,152,166
2345.jpg,320,240,0,57,100,319,193
2345.jpg,320,240,1,178,150,209,185
1558.jpg,320,240,0,73,104,209,196
1558.jpg,320,240,1,143,159,168,182
716.jpg,320,240,0,40,81,280,189
716.jpg,320,240,1,146,148,173,175
2536.jpg,320,240,0,29,47,295,139
2536.jpg,320,240,1,146,97,176,128
1132.jpg,320,240,0,51,102,274,204
1132.jpg,320,240,1,146,164,171,190
1210.jpg,320,240,0,40,102,279,215
1210.jpg,320,240,1,143,172,171,202
1944.jpg,320,240,0,94,101,216,195
1944.jpg,320,240,1,170,158,194,182
2465.jpg,320,240,0,44,100,277,179
2465.jpg,320,240,1,144,144,171,171
1769.jpg,320,240,0,53,104,180,196
1769.jpg,320,240,1,124,159,149,182
1239.jpg,320,240,0,81,94,239,175
1239.jpg,320,240,1,149,138,166,161
424.jpg,320,240,0,40,102,276,214
424.jpg,320,240,1,137,171,163,198
840.jpg,320,240,0,82,99,245,173
840.jpg,320,240,1,155,142,173,163
591.jpg,320,240,0,76,97,280,217
591.jpg,320,240,1,163,164,187,191
697.jpg,320,240,0,58,108,280,220
697.jpg,320,240,1,157,177,184,204
48.jpg,320,240,0,53,100,260,194
48.jpg,320,240,1,141,156,163,180
1339.jpg,320,240,0,74,95,242,178
1339.jpg,320,240,1,146,146,164,166
1839.jpg,320,240,0,52,104,181,197
1839.jpg,320,240,1,124,160,149,182
2539.jpg,320,240,0,28,44,293,140
2539.jpg,320,240,1,144,96,173,126
2236.jpg,320,240,0,10,102,267,193
2236.jpg,320,240,1,114,150,143,182
621.jpg,320,240,0,100,100,280,218
621.jpg,320,240,1,175,162,196,187
2171.jpg,320,240,0,0,103,293,209
2171.jpg,320,240,1,118,165,154,201
1134.jpg,320,240,0,50,101,271,202
1134.jpg,320,240,1,145,163,169,190
1398.jpg,320,240,0,48,100,275,207
1398.jpg,320,240,1,146,167,172,193
1949.jpg,320,240,0,92,101,213,195
1949.jpg,320,240,1,167,158,191,181
890.jpg,320,240,0,45,97,279,226
890.jpg,320,240,1,180,172,208,202
2040.jpg,320,240,0,28,104,319,213
2040.jpg,320,240,1,165,166,202,204
1670.jpg,320,240,0,40,104,166,192
1670.jpg,320,240,1,105,158,128,180
2525.jpg,320,240,0,40,101,269,178
2525.jpg,320,240,1,138,144,166,171
2610.jpg,320,240,0,37,59,319,165
2610.jpg,320,240,1,174,118,211,156
1320.jpg,320,240,0,47,99,275,216
1320.jpg,320,240,1,162,168,188,197
2162.jpg,320,240,0,0,105,237,212
2162.jpg,320,240,1,61,166,98,203
2652.jpg,320,240,0,0,65,251,169
2652.jpg,320,240,1,73,123,108,161
2010.jpg,320,240,0,3,104,312,211
2010.jpg,320,240,1,133,164,168,203
2526.jpg,320,240,0,23,101,275,190
2526.jpg,320,240,1,131,149,160,181
2398.jpg,320,240,0,10,101,251,188
2398.jpg,320,240,1,121,146,149,177
20.jpg,320,240,0,56,100,255,191
20.jpg,320,240,1,140,154,161,176
1560.jpg,320,240,0,69,104,206,196
1560.jpg,320,240,1,139,160,163,182
825.jpg,320,240,0,40,88,276,212
825.jpg,320,240,1,126,165,155,197
876.jpg,320,240,0,40,97,279,234
876.jpg,320,240,1,152,182,183,215
662.jpg,320,240,0,62,99,280,227
662.jpg,320,240,1,146,168,171,196
1708.jpg,320,240,0,66,103,221,190
1708.jpg,320,240,1,133,154,157,176
1176.jpg,320,240,0,61,101,267,196
1176.jpg,320,240,1,149,158,174,182
2311.jpg,320,240,0,0,101,249,193
2311.jpg,320,240,1,96,150,125,184
2467.jpg,320,240,0,44,100,276,180
2467.jpg,320,240,1,144,143,171,171
257.jpg,320,240,0,39,101,221,192
257.jpg,320,240,1,117,153,138,176
1947.jpg,320,240,0,46,102,176,197
1947.jpg,320,240,1,127,158,152,184
1603.jpg,320,240,0,41,103,178,205
1603.jpg,320,240,1,121,165,146,191
753.jpg,320,240,0,73,116,280,210
753.jpg,320,240,1,166,174,190,198
2492.jpg,320,240,0,25,101,274,189
2492.jpg,320,240,1,132,148,160,180
158.jpg,320,240,0,74,96,241,172
158.jpg,320,240,1,148,138,166,161
1129.jpg,320,240,0,53,101,279,205
1129.jpg,320,240,1,149,165,175,192
969.jpg,320,240,0,40,101,274,220
969.jpg,320,240,1,123,175,150,204
726.jpg,320,240,0,40,80,280,187
726.jpg,320,240,1,146,146,173,173
1751.jpg,320,240,0,41,104,170,192
1751.jpg,320,240,1,113,156,137,179
72.jpg,320,240,0,40,104,280,218
72.jpg,320,240,1,141,174,169,202
276.jpg,320,240,0,122,93,280,182
276.jpg,320,240,1,188,139,206,159
2136.jpg,320,240,0,0,105,240,213
2136.jpg,320,240,1,59,166,96,204
2053.jpg,320,240,0,55,103,319,213
2053.jpg,320,240,1,190,166,227,204
1038.jpg,320,240,0,46,95,279,220
1038.jpg,320,240,1,159,175,188,205
1701.jpg,320,240,0,46,102,176,197
1701.jpg,320,240,1,127,159,152,184
2332.jpg,320,240,0,32,102,297,192
2332.jpg,320,240,1,149,151,180,185
2116.jpg,320,240,0,0,105,293,212
2116.jpg,320,240,1,111,166,147,204
131.jpg,320,240,0,72,99,250,182
131.jpg,320,240,1,148,148,168,169
2151.jpg,320,240,0,0,105,230,214
2151.jpg,320,240,1,49,166,84,204
1671.jpg,320,240,0,40,104,165,192
1671.jpg,320,240,1,105,158,128,180
1642.jpg,320,240,0,40,104,183,210
1642.jpg,320,240,1,124,170,151,195
1549.jpg,320,240,0,73,102,207,196
1549.jpg,320,240,1,147,159,171,182
2034.jpg,320,240,0,18,104,319,213
2034.jpg,320,240,1,152,165,189,204
829.jpg,320,240,0,83,101,246,174
829.jpg,320,240,1,155,144,174,164
171.jpg,320,240,0,83,98,248,174
171.jpg,320,240,1,158,143,176,168
1535.jpg,320,240,0,47,100,267,204
1535.jpg,320,240,1,140,164,164,190
1062.jpg,320,240,0,83,100,235,171
1062.jpg,320,240,1,149,140,166,160
1222.jpg,320,240,0,40,101,278,215
1222.jpg,320,240,1,140,172,168,201
1065.jpg,320,240,0,48,92,279,224
1065.jpg,320,240,1,170,172,199,203
756.jpg,320,240,0,48,92,239,186
756.jpg,320,240,1,126,144,148,167
453.jpg,320,240,0,41,86,279,218
453.jpg,320,240,1,142,169,169,198
2495.jpg,320,240,0,43,102,276,179
2495.jpg,320,240,1,142,143,169,171
97.jpg,320,240,0,40,98,272,206
97.jpg,320,240,1,135,163,161,190
1048.jpg,320,240,0,45,94,279,221
1048.jpg,320,240,1,162,175,192,204
2357.jpg,320,240,0,78,102,319,194
2357.jpg,320,240,1,202,150,232,185
1377.jpg,320,240,0,47,100,275,208
1377.jpg,320,240,1,148,167,175,194
1027.jpg,320,240,0,44,96,279,220
1027.jpg,320,240,1,153,175,183,205
616.jpg,320,240,0,99,100,280,216
616.jpg,320,240,1,175,162,198,188
2284.jpg,320,240,0,0,98,213,196
2284.jpg,320,240,1,62,148,90,181
2713.jpg,320,240,0,20,101,287,194
2713.jpg,320,240,1,135,153,166,185
1831.jpg,320,240,0,51,104,181,199
1831.jpg,320,240,1,124,161,149,186
2590.jpg,320,240,0,41,52,319,152
2590.jpg,320,240,1,175,107,210,144
1757.jpg,320,240,0,53,104,178,192
1757.jpg,320,240,1,122,157,146,180
2343.jpg,320,240,0,48,100,315,193
2343.jpg,320,240,1,170,150,201,184
2208.jpg,320,240,0,31,102,294,192
2208.jpg,320,240,1,146,151,176,184
1101.jpg,320,240,0,66,99,279,213
1101.jpg,320,240,1,181,168,206,195
2408.jpg,320,240,0,7,101,239,184
2408.jpg,320,240,1,113,146,141,173
677.jpg,320,240,0,63,104,280,222
677.jpg,320,240,1,157,175,183,202
2205.jpg,320,240,0,28,102,292,193
2205.jpg,320,240,1,141,151,172,185
51.jpg,320,240,0,45,101,261,196
51.jpg,320,240,1,139,158,162,182
633.jpg,320,240,0,96,94,280,236
633.jpg,320,240,1,164,158,184,187
1655.jpg,320,240,0,52,104,186,199
1655.jpg,320,240,1,127,161,152,186
2049.jpg,320,240,0,43,105,319,213
2049.jpg,320,240,1,181,166,216,204
19.jpg,320,240,0,56,99,255,192
19.jpg,320,240,1,140,154,162,177
2505.jpg,320,240,0,38,100,270,181
2505.jpg,320,240,1,138,144,165,173
2480.jpg,320,240,0,44,100,275,180
2480.jpg,320,240,1,143,143,171,172
1469.jpg,320,240,0,40,102,241,207
1469.jpg,320,240,1,110,163,135,190
2004.jpg,320,240,0,39,101,269,178
2004.jpg,320,240,1,138,144,165,171
1794.jpg,320,240,0,48,104,184,203
1794.jpg,320,240,1,126,164,152,190
1661.jpg,320,240,0,53,104,184,198
1661.jpg,320,240,1,124,160,148,182
2451.jpg,320,240,0,55,102,285,179
2451.jpg,320,240,1,154,144,182,172
1397.jpg,320,240,0,46,100,274,207
1397.jpg,320,240,1,145,167,172,193
688.jpg,320,240,0,54,103,280,219
688.jpg,320,240,1,149,174,175,202
784.jpg,320,240,0,47,102,234,201
784.jpg,320,240,1,133,159,154,181
1356.jpg,320,240,0,56,102,279,211
1356.jpg,320,240,1,169,167,193,196
1838.jpg,320,240,0,51,104,180,197
1838.jpg,320,240,1,124,160,149,183
295.jpg,320,240,0,104,101,270,183
295.jpg,320,240,1,173,146,193,167
1653.jpg,320,240,0,51,104,186,201
1653.jpg,320,240,1,127,162,152,187
550.jpg,320,240,0,40,96,267,205
550.jpg,320,240,1,140,164,166,190
2624.jpg,320,240,0,0,58,310,167
2624.jpg,320,240,1,123,118,161,157
1148.jpg,320,240,0,56,102,266,198
1148.jpg,320,240,1,145,159,170,185
643.jpg,320,240,0,76,92,278,234
643.jpg,320,240,1,143,157,163,184
1471.jpg,320,240,0,40,102,244,206
1471.jpg,320,240,1,113,164,138,190
1142.jpg,320,240,0,54,101,266,198
1142.jpg,320,240,1,145,160,169,186
1359.jpg,320,240,0,52,102,279,212
1359.jpg,320,240,1,165,167,190,194
1385.jpg,320,240,0,40,100,271,207
1385.jpg,320,240,1,144,167,170,194
1419.jpg,320,240,0,70,101,279,206
1419.jpg,320,240,1,163,165,189,191
1146.jpg,320,240,0,56,102,266,198
1146.jpg,320,240,1,145,159,170,185
386.jpg,320,240,0,40,103,274,214
386.jpg,320,240,1,137,171,163,198
813.jpg,320,240,0,40,102,274,216
813.jpg,320,240,1,134,172,161,202
1935.jpg,320,240,0,93,102,215,195
1935.jpg,320,240,1,169,158,194,181
1660.jpg,320,240,0,53,104,184,198
1660.jpg,320,240,1,125,160,150,183
1942.jpg,320,240,0,94,102,216,195
1942.jpg,320,240,1,170,158,194,182
2308.jpg,320,240,0,0,101,247,193
2308.jpg,320,240,1,91,150,120,183
864.jpg,320,240,0,40,101,279,239
864.jpg,320,240,1,134,193,170,228
748.jpg,320,240,0,68,110,280,214
748.jpg,320,240,1,166,174,191,200
2735.jpg,320,240,0,11,102,293,200
2735.jpg,320,240,1,132,161,165,190
1747.jpg,320,240,0,40,104,147,194
1747.jpg,320,240,1,95,158,119,180
1130.jpg,320,240,0,52,101,278,204
1130.jpg,320,240,1,149,164,174,191
1876.jpg,320,240,0,59,101,177,186
1876.jpg,320,240,1,125,150,147,172
1530.jpg,320,240,0,52,98,265,200
1530.jpg,320,240,1,142,161,166,186
1918.jpg,320,240,0,73,102,195,196
1918.jpg,320,240,1,150,159,175,182
799.jpg,320,240,0,67,97,266,191
799.jpg,320,240,1,151,152,173,175
502.jpg,320,240,0,46,96,276,210
502.jpg,320,240,1,156,168,183,195
2509.jpg,320,240,0,30,102,269,182
2509.jpg,320,240,1,133,146,161,173
1494.jpg,320,240,0,63,102,267,197
1494.jpg,320,240,1,153,160,176,185
2547.jpg,320,240,0,24,43,292,138
2547.jpg,320,240,1,140,93,172,125
2565.jpg,320,240,0,13,42,294,141
2565.jpg,320,240,1,137,95,168,130
2234.jpg,320,240,0,11,102,268,192
2234.jpg,320,240,1,115,150,144,182
1800.jpg,320,240,0,47,104,183,205
1800.jpg,320,240,1,125,165,152,191
857.jpg,320,240,0,40,100,279,239
857.jpg,320,240,1,129,197,166,232
1032.jpg,320,240,0,45,94,279,220
1032.jpg,320,240,1,154,175,184,204
1537.jpg,320,240,0,44,100,268,205
1537.jpg,320,240,1,139,165,163,191
475.jpg,320,240,0,40,94,260,210
475.jpg,320,240,1,130,169,156,196
1097.jpg,320,240,0,73,97,280,216
1097.jpg,320,240,1,191,168,217,196
263.jpg,320,240,0,104,89,270,182
263.jpg,320,240,1,172,138,190,158
699.jpg,320,240,0,61,106,280,217
699.jpg,320,240,1,162,174,187,202
1950.jpg,320,240,0,91,101,213,195
1950.jpg,320,240,1,167,158,192,181
366.jpg,320,240,0,40,102,277,216
366.jpg,320,240,1,139,172,165,199
542.jpg,320,240,0,40,91,262,203
542.jpg,320,240,1,138,162,163,188
2180.jpg,320,240,0,4,102,293,201
2180.jpg,320,240,1,127,160,160,195
2302.jpg,320,240,0,0,101,238,192
2302.jpg,320,240,1,85,150,114,182
1523.jpg,320,240,0,54,99,255,193
1523.jpg,320,240,1,140,158,162,180
2613.jpg,320,240,0,24,60,319,166
2613.jpg,320,240,1,162,118,198,156
2440.jpg,320,240,0,71,102,299,179
2440.jpg,320,240,1,172,143,199,172
953.jpg,320,240,0,40,101,278,220
953.jpg,320,240,1,128,174,156,204
730.jpg,320,240,0,40,83,280,190
730.jpg,320,240,1,144,148,171,176
308.jpg,320,240,0,100,106,271,183
308.jpg,320,240,1,173,151,193,171
1431.jpg,320,240,0,73,100,279,208
1431.jpg,320,240,1,162,165,188,191
2028.jpg,320,240,0,8,104,319,213
2028.jpg,320,240,1,145,166,180,204
2630.jpg,320,240,0,0,58,287,167
2630.jpg,320,240,1,100,118,137,157
752.jpg,320,240,0,72,116,280,212
752.jpg,320,240,1,167,175,190,200
927.jpg,320,240,0,58,101,280,218
927.jpg,320,240,1,162,174,192,203
1102.jpg,320,240,0,65,99,279,212
1102.jpg,320,240,1,179,168,205,195
814.jpg,320,240,0,40,101,274,216
814.jpg,320,240,1,133,173,160,202
525.jpg,320,240,0,41,100,261,210
525.jpg,320,240,1,152,163,175,190
1599.jpg,320,240,0,48,103,184,203
1599.jpg,320,240,1,124,163,150,189
1979.jpg,320,240,0,8,103,295,202
1979.jpg,320,240,1,129,164,163,195
381.jpg,320,240,0,40,102,276,214
381.jpg,320,240,1,137,171,163,198
2382.jpg,320,240,0,89,102,319,195
2382.jpg,320,240,1,211,150,240,186
651.jpg,320,240,0,53,82,258,230
651.jpg,320,240,1,121,152,142,178
1551.jpg,320,240,0,74,103,207,196
1551.jpg,320,240,1,146,159,170,182
1795.jpg,320,240,0,48,104,184,204
1795.jpg,320,240,1,126,164,152,190
1288.jpg,320,240,0,50,94,279,213
1288.jpg,320,240,1,164,171,190,199
1207.jpg,320,240,0,40,102,279,216
1207.jpg,320,240,1,145,172,172,202
2679.jpg,320,240,0,17,102,283,194
2679.jpg,320,240,1,131,154,162,185
273.jpg,320,240,0,127,95,280,178
273.jpg,320,240,1,194,139,212,159
2298.jpg,320,240,0,0,99,224,194
2298.jpg,320,240,1,73,149,102,182
560.jpg,320,240,0,40,98,270,204
560.jpg,320,240,1,140,164,166,190
2339.jpg,320,240,0,42,99,308,193
2339.jpg,320,240,1,161,151,192,185
478.jpg,320,240,0,40,94,256,210
478.jpg,320,240,1,126,168,153,196
632.jpg,320,240,0,96,94,280,236
632.jpg,320,240,1,164,158,185,186
912.jpg,320,240,0,66,104,280,219
912.jpg,320,240,1,183,174,209,203
2599.jpg,320,240,0,55,55,319,158
2599.jpg,320,240,1,194,111,229,149
1368.jpg,320,240,0,48,100,278,208
1368.jpg,320,240,1,156,167,181,194
1581.jpg,320,240,0,53,103,205,197
1581.jpg,320,240,1,121,160,146,183
742.jpg,320,240,0,54,103,280,208
742.jpg,320,240,1,156,168,182,193
1629.jpg,320,240,0,40,104,176,212
1629.jpg,320,240,1,118,170,145,197
24.jpg,320,240,0,39,94,222,215
24.jpg,320,240,1,126,158,146,180
816.jpg,320,240,0,40,100,274,214
816.jpg,320,240,1,130,170,159,200
647.jpg,320,240,0,65,90,267,232
647.jpg,320,240,1,132,155,152,182
960.jpg,320,240,0,40,99,278,220
960.jpg,320,240,1,127,175,155,204
1432.jpg,320,240,0,73,100,279,208
1432.jpg,320,240,1,163,164,188,191
1417.jpg,320,240,0,69,96,247,182
1417.jpg,320,240,1,146,148,165,169
2667.jpg,320,240,0,0,93,276,186
2667.jpg,320,240,1,114,146,146,180
1977.jpg,320,240,0,10,102,296,201
1977.jpg,320,240,1,130,163,164,193
1412.jpg,320,240,0,63,101,279,206
1412.jpg,320,240,1,159,165,184,192
508.jpg,320,240,0,47,95,272,207
508.jpg,320,240,1,157,164,182,191
2312.jpg,320,240,0,0,101,251,193
2312.jpg,320,240,1,98,150,127,184
1354.jpg,320,240,0,58,102,279,213
1354.jpg,320,240,1,173,168,196,196
2250.jpg,320,240,0,0,101,252,194
2250.jpg,320,240,1,98,150,126,182
1418.jpg,320,240,0,69,101,279,206
1418.jpg,320,240,1,163,165,188,192
1371.jpg,320,240,0,47,101,278,208
1371.jpg,320,240,1,155,168,181,194
447.jpg,320,240,0,41,85,280,221
447.jpg,320,240,1,141,170,169,198
1779.jpg,320,240,0,47,102,176,197
1779.jpg,320,240,1,128,158,152,184
1891.jpg,320,240,0,59,101,177,186
1891.jpg,320,240,1,125,150,147,172
2347.jpg,320,240,0,61,100,319,194
2347.jpg,320,240,1,185,150,215,185
1338.jpg,320,240,0,58,98,279,215
1338.jpg,320,240,1,173,165,198,193
21.jpg,320,240,0,56,99,253,190
21.jpg,320,240,1,139,153,161,176
10.jpg,320,240,0,62,95,262,189
10.jpg,320,240,1,147,150,168,176
1275.jpg,320,240,0,47,102,279,214
1275.jpg,320,240,1,164,170,189,198
1846.jpg,320,240,0,55,104,181,193
1846.jpg,320,240,1,125,158,150,180
326.jpg,320,240,0,79,101,250,176
326.jpg,320,240,1,151,144,171,170
2099.jpg,320,240,0,6,104,319,212
2099.jpg,320,240,1,137,166,175,204
835.jpg,320,240,0,40,87,279,219
835.jpg,320,240,1,126,171,158,203
1531.jpg,320,240,0,50,98,265,200
1531.jpg,320,240,1,141,162,165,187
2007.jpg,320,240,0,3,104,311,211
2007.jpg,320,240,1,132,164,168,202
2410.jpg,320,240,0,13,101,246,183
2410.jpg,320,240,1,119,145,146,173
418.jpg,320,240,0,40,102,276,214
418.jpg,320,240,1,137,171,163,198
1509.jpg,320,240,0,73,101,257,184
1509.jpg,320,240,1,154,150,175,172
